"","V1","V2"
"789","HDTV with Netflix Amazon Prime Video HBO Max Apple TV","1"
"790","AIRPLAY sound system","1"
"791","AFRICOLOGY body soap","2"
"792","WHIRPOOL 6TH SENSE stainless steel oven","1"
"793","AFRICOLOGY conditioner","2"
"794","Paid street parking off premises u2013 AUD8 per hour","1"
"795","Pantene prov embalagem da casa  Copacabana Moderno apartamento com WIFI conditioner","1"
"796","bose sound system with Bluetooth and aux","3"
"797","Wifi u2013 1010 Mbps","3"
"798","Brstemp com congelador  refrigerator","1"
"799","Cooktop electric stove","1"
"800","Bosch electric stove","6"
"801","Fisher and Paykel refrigerator","4"
"802","Smeg stainless steel stove","2"
"803","basico stainless steel gas stove","1"
"804","Basico conditioner","1"
"805","basico refrigerator","1"
"806","basico stainless steel oven","1"
"807","Vestel  refrigerator","1"
"808"," Bottom Freezer Fridge Inox  refrigerator","1"
"809","Hotplate induction  induction stove","1"
"810","Thankyou body soap","3"
"811","Neutral body soap","2"
"812","Airplay  Chromecast speaker sound system","1"
"813","DOVE O PANTENE shampoo","1"
"814","Wifi u2013 70 Mbps","11"
"815","cook top de 2 bocas de vidro gas stove","1"
"816","Siemens refrigerator","9"
"817","LG sound system with aux","4"
"818","Outdoor pool","5"
"819","Omnisens Paris conditioner","1"
"820","Dove shampoo","3"
"821","Luxury Soap shampoo","1"
"822","Pool toys","23"
"823","Top part Fridge Bottom Freezer refrigerator","1"
"824","Gym nearby","6"
"825","Geral gas stove","5"
"826","Granado body soap","10"
"827","Granado conditioner","2"
"828","Granado shampoo","2"
"829","Brastemp stainless steel electric stove","1"
"830","Marshall Stockwell 2 sound system with Bluetooth and aux","1"
"831","arcelik oven","1"
"832","arcelik gas stove","1"
"833","LG sound system with Bluetooth and aux","3"
"834","various brands  liquid form body soap","1"
"835","various luxury brands shampoo","1"
"836","various brands conditioner","1"
"837","Gorenge refrigerator","1"
"838","Local conditioner","3"
"839","Smeg stove","2"
"840","Lg refrigerator","1"
"841","Local body soap","2"
"842","Organic  body soap","1"
"843","HDTV with Netflix HBO Max Amazon Prime Video","3"
"844","TEKA gas stove","2"
"845","Whirpool refrigerator","8"
"846","Thank you body soap","2"
"847","Thank you conditioner","2"
"848","Member Mark Sams conditioner","4"
"849","Member Mark Sams shampoo","3"
"850","Member Mark Sams body soap","4"
"851","Teka stainless steel gas stove","4"
"852","80","7"
"853","45","9"
"854","HISENSE refrigerator","1"
"855","Cook gas stove","1"
"856","Acompanha o fogao oven","1"
"857","Puracy plant based and naturalJR watkins body soap","1"
"858","Bose sound system","7"
"859","Sauve shampoo","1"
"860","Full size General Electric refrigerator","1"
"861","Wifi u2013 400 Mbps","8"
"862","95","1"
"863","Miss lyn body soap","1"
"864","duplex refrigerator","1"
"865","SamSung refrigerator","1"
"866","Brastemp oven","2"
"867","Brastemp gas stove","4"
"868","Mini oven","2"
"869","Paid parking lot on premises u2013 EUR25 per day 1 space","2"
"870","Free parking garage on premises u2013 10 spaces","1"
"871","Private outdoor pool","25"
"872","Paid parking garage on premises u2013 EUR30 per day 2 spaces","2"
"873","Vegan Su0131vu0131 Sabun body soap","2"
"874","HDTV with HBO Max standard cable Netflix","1"
"875","Clothing storage closet dresser and wardrobe","10"
"876","Lavarino body soap","3"
"877","139","1"
"878","14","3"
"879","Vicini alumu00ednio 2 bocas electric stove","1"
"880","Eletrolux DF52X refrigerator","1"
"881","Paid valet parking on premises u2013 4 spaces","2"
"882","itimati stainless steel oven","2"
"883","elidor body soap","3"
"884","MONSAVON body soap","1"
"885","LOREAL conditioner","2"
"886","itimat stainless steel oven","2"
"887","DENON Bluetooth sound system","2"
"888","Wifi u2013 350 Mbps","1"
"889","Clothing storage closet walkin closet and dresser","4"
"890","sans du00e9conner  conditioner","1"
"891","DeDietrich stainless steel oven","1"
"892","Marshall Bluetooth sound system","4"
"893","Frigidaire refrigerator","8"
"894","Paid parking garage off premises u2013 TRY25 per day","1"
"895","Paid parking garage off premises u2013 EUR6 per day","1"
"896","Wifi u2013 31 Mbps","2"
"897","vegan su00ecvu00ec sabun body soap","1"
"898","Candy induction stove","2"
"899","Candy stainless steel oven","4"
"900","La Dimora body soap","1"
"901","27","5"
"902","Lavarino Cosso conditioner","1"
"903","Lavarino Cosso body soap","1"
"904","Lavarino Cosso shampoo","1"
"905","Sound Life Bluetooth sound system","1"
"906","1397","1"
"907","Au00e7elik refrigerator","1"
"908","Zeytuni (Olive) shampoo","1"
"909","Aru00e7elik electric stove","1"
"910","TEKA stainless steel gas stove","3"
"911","grundig sound system with Bluetooth and aux","1"
"912","fresh  clean disinfected shampoo","1"
"913","grundig stainless steel oven","1"
"914","112","1"
"915","Teka stainless steel oven","2"
"916","Palmolive or Radox body soap","1"
"917","IKEA  sound system","1"
"918","Micro wave and ceramic cook top electric stove","1"
"919","Paid street parking off premises u2013 EUR8 per day","3"
"920","Puracy plant based and natural conditioner","1"
"921","Homepod (Apple) sound system","1"
"922","BangOlufsen sound system","1"
"923","Lavarino shampoo","2"
"924","Lavarino conditioner","2"
"925","HiSense refrigerator","2"
"926","Private gym nearby","5"
"927","Wifi u2013 72 Mbps","3"
"928","Consul frost free refrigerator","1"
"929","Francis Lux Luxo Palmolive ou similar body soap","1"
"930","Tramontina gas stove","1"
"931","cassa acustica APPLE e GOOGLE assistant  sound system with Bluetooth and aux","1"
"932","Sauter oven","1"
"933","Eletrolux oven","1"
"934","Sony Home Theather Bluetooth sound system","1"
"935","Tramontina Eletrico stainless steel oven","1"
"936","Cooktop Tramontina 04 bocas stainless steel gas stove","1"
"937","Electrolux Duplex com Freezer refrigerator","1"
"938","Mixed brands body soap","1"
"939","Philco stainless steel oven","1"
"940","Paid street parking off premises u2013 BRL10 per day","2"
"941","HDTV with premium cable standard cable","6"
"942","100","8"
"943","58","7"
"944","Dennon  Canton sound system with aux","1"
"945","JBL Bluetooth sound system","13"
"946","Clothing storage wardrobe closet and dresser","8"
"947","140","1"
"948","KIC refrigerator","1"
"949","Paid parking lot on premises u2013 MXN100 per day 1 space","1"
"950","natura  body soap","1"
"951","ARISTON refrigerator","1"
"952","Clothing storage dresser closet walkin closet and wardrobe","3"
"953","82","3"
"954","SAMSUNG sound system with aux","1"
"955","DIAL body soap","1"
"956","Clothing storage closet walkin closet wardrobe and dresser","1"
"957","TV with Amazon Prime Video Chromecast Netflix premium cable standard cable","1"
"958","Jabones artesanales body soap","1"
"959","165","2"
"960","Loredana conditioner","1"
"961","Loredana body soap","1"
"962","Eyu00fcpSabriTuncer Organic body soap","1"
"963","neutro hipoalergenico body soap","1"
"964","Rio Spot Homes body soap","1"
"965","Rio Spot Homes conditioner","1"
"966","Yamaha Bluetooth sound system","5"
"967","neutro body soap","2"
"968","HDTV with Netflix premium cable","14"
"969","HDTV with Netflix Amazon Prime Video premium cable","4"
"970","Wifi u2013 60 Mbps","14"
"971","gu00e1s oven","1"
"972","ELETRICO BRITANIA oven","1"
"973","DVDVideo player and screen set up in lounge sound system","1"
"974","Clothing storage wardrobe closet walkin closet and dresser","2"
"975","Samsung Bluetooth sound system","10"
"976","Paid parking lot off premises u2013 EUR7 per day","1"
"977","mabe refrigerator","3"
"978","Rosa body soap","1"
"979","Elva Domino Hob stainless steel electric stove","1"
"980","Polaroid sound system with Bluetooth and aux","2"
"981","Elva stainless steel oven","1"
"982","Miss Lynn conditioner","1"
"983","Miss Lynn shampoo","1"
"984","Miss Lynn body soap","2"
"985","Parrilla de 20 Cuenta con 2 quemadores y una cubierta porcelanizada que facilita la limpieza gas stove","1"
"986","MABE refrigerator","3"
"987","Stay Beautiful body soap","1"
"988","4 bocas gas stove","1"
"989","25","1"
"990","5 amazon alexa  Bluetooth sound system","1"
"991","Koblenz stainless steel oven","1"
"992","KMS Salon grade conditioner","1"
"993","KMS Salon grade shampoo","1"
"994","X sound system with aux","1"
"995","palmolive body soap","1"
"996","Fructis shampoo","1"
"997","BOSE Bluetooth sound system","4"
"998","Artusi refrigerator","1"
"999","Organic Care  shampoo","1"
"1000","Ancient Earth shampoo","1"
"1001","Ancient Earth conditioner","1"
"1002","Ancient Earth body soap","1"
"1003","Google home Bluetooth sound system","1"
"1004","Wifi u2013 24 Mbps","24"
"1005","153","1"
"1006","CANDY stainless steel oven","1"
"1007","CANDY refrigerator","1"
"1008","CANDY induction stove","1"
"1009","Argania conditioner","1"
"1010","Plaque de cuisson oven","1"
"1011","NIVEA body soap","1"
"1012","Consul Novo gas stove","1"
"1013","Consul oven","2"
"1014","Paid parking garage on premises u2013 EUR15 per day 1 space","1"
"1015","ge refrigerator","1"
"1016","Gas hob with electrical oven stove","1"
"1017","local PA (see Photo) sound system with aux","1"
"1018","Consul (3 flames) stainless steel gas stove","1"
"1019","Paid street parking off premises u2013 EUR4 per day","2"
"1020","Dedicated workspace monitor office chair and table","1"
"1021","Brastemp Inverter refrigerator","1"
"1022","Fogu00e3o 4 bocas Itatiaia com forno e acendimento manual gas stove","1"
"1023","Fogu00e3o 4 bocas Itatiaia com forno e acendimento manual oven","1"
"1024","HDTV with premium cable Netflix","4"
"1025","Lock on bedroom door","47727"
"1026","Bosch stainless steel gas stove","9"
"1027","Free driveway parking on premises u2013 4 spaces","5"
"1028","Paid street parking off premises u2013 EUR5 per day","3"
"1029","Eletrolux refrigerator","6"
"1030","Brands vary shampoo","1"
"1031","Brands vary conditioner","1"
"1032","Regular Body Soap body soap","1"
"1033","Private living room","1498"
"1034","Zeytuni (Olive Oil) shampoo","2"
"1035","Zeytuni (Olive oil) shampoo","1"
"1036","fischer and Pykel refrigerator","1"
"1037","Clothing storage closet dresser wardrobe and walkin closet","1"
"1038","HDTV with Netflix Chromecast standard cable","1"
"1039","Sunsilk shampoo","2"
"1040","protect body soap","1"
"1041","Sub Zero refrigerator","1"
"1042","iPad Air sound system","1"
"1043","Plunge pool","7"
"1044","Sun loungers","93"
"1045","DVD player","19"
"1046","Dining area for 6 people","5"
"1047","Computer","6"
"1048","Ironing board","86"
"1049","Security system","46"
"1050","Breakfast bar","60"
"1051","Chefs kitchen","72"
"1052","Terrace","62"
"1053","Laptop","5"
"1054","Parking","68"
"1055","Beach chairs","3"
"1056","Gas grill","18"
"1057","Dining area for 8 people","15"
"1058","Exercise equipment","9"
"1059","Outdoor seating","45"
"1060","Sunslik shampoo","1"
"1061","Paid dryeru2013In unit","9"
"1062","Polk Bar sound system with Bluetooth and aux","1"
"1063","AMG oven","1"
"1064","OMEGA stainless steel gas stove","1"
"1065","Wolf oven","2"
"1066","Miele oven","4"
"1067","Liebherr refrigerator","6"
"1068","Neff x 2 ovens (one is steam) oven","1"
"1069","Panasonic refrigerator","14"
"1070","Free residential garage on premises u2013 100 spaces","1"
"1071","aru00e7elik stainless steel oven","6"
"1072","Shared indoor olympicsized pool","1"
"1073","Free parking on premises u2013 5 spaces","2"
"1074","Please make sure you turn it off gas stove","1"
"1075","smeg stainless steel gas stove","6"
"1076","Outdoor saltwater pool","6"
"1077","54","4"
"1078","Video Games","3"
"1079","Wine storage","11"
"1080","Bicycle","2"
"1081","Dining area for 4 people","3"
"1082","Media room","27"
"1083","Heated floors","19"
"1084","Library","12"
"1085","Internet","7"
"1086","Dining area for 14 people","1"
"1087","Books","1"
"1088","Blender","1"
"1089","Patio","3"
"1090","BluRay player","1"
"1091","Projector","1"
"1092","Surround sound system","5"
"1093","Music system","6"
"1094","Garden","19"
"1095","iPod dock","5"
"1096","Game room","9"
"1097","Natural gas barbeque","30"
"1098","Private pool","11"
"1099","Formal dining area","48"
"1100","Security cameras","30"
"1101","Balcony","38"
"1102","Occitane conditioner","1"
"1103","Paid parking garage off premises u2013 EUR35 per day","5"
"1104","Occitane body soap","1"
"1105","smeg gas stove","2"
"1106","CocktailAudio X30 InStyle Speakers sound system with aux","1"
"1107","Kayak","29"
"1108","Free residential garage on premises u2013 6 spaces","3"
"1109","SMEG  Siemens stainless steel oven","1"
"1110","SMEG stainless steel gas stove","9"
"1111","Steam room","10"
"1112","Spa","6"
"1113","Infinity pool","11"
"1114","Laptopfriendly workspace","18"
"1115","Massage room","1"
"1116","Dining area for 10 people","16"
"1117","Meditation room","1"
"1118","Office","41"
"1119","Charcoal barbeque","7"
"1120","Pizza oven","5"
"1121","Breakfast table","6"
"1122","Mountain view","6"
"1123","Apple TV","19"
"1124","Sonas sound system with Bluetooth and aux","1"
"1125","Lounge area","12"
"1126","Home theater","10"
"1127","Alarm system","11"
"1128","Gas fireplace","22"
"1129","Security monitors","1"
"1130","Bar","8"
"1131","Dining area for 12 people","5"
"1132","Printer","3"
"1133","Alfresco shower","13"
"1134","Dining area for 5 people","1"
"1135","AEG oven","2"
"1136","Whirlpool gas stove","1"
"1137","Sharp French Door with Freezer  refrigerator","1"
"1138","AEG 750 Builtin under counter stainless steel oven","1"
"1139","AEG Glass 5 plate electric stove","1"
"1140","Dedicated workspace table office chair and monitor","1"
"1141","Private outdoor heated lap pool","1"
"1142","Natural body soap","3"
"1143","Clothing storage wardrobe walkin closet dresser and closet","3"
"1144","marantz Amp mission speakers sound system with aux","1"
"1145","Defy stainless steel gas stove","4"
"1146","Sonos  Bluetooth sound system","2"
"1147","Marantz Bluetooth sound system","1"
"1148","both Grill  Steam ovens oven","1"
"1149","Clothing storage walkin closet dresser closet and wardrobe","3"
"1150","Private outdoor saltwater pool","4"
"1151","HDTV with Apple TV Netflix premium cable","2"
"1152","AEG Hob induction stove","1"
"1153","Whirlpool oven","1"
"1154","BOSCH stainless steel electric stove","1"
"1155","Free parking on premises u2013 3 spaces","4"
"1156","BOSCH stainless steel oven","2"
"1157","Paid parking lot on premises u2013 AUD10 per day 1 space","3"
"1158","petit flacon conditioner","1"
"1159","WIRPOOL refrigerator","1"
"1160","Johnson","1"
"1161"," HDTV with standard cable Netflix","7"
"1162","Eletrolux stainless steel oven","7"
"1163","Free residential garage on premises u2013 4 spaces","4"
"1164","Paid parking garage on premises u2013 680 spaces","3"
"1165","whirlpool stainless steel oven","2"
"1166","elseve conditioner","2"
"1167","neffe stainless steel gas stove","1"
"1168","HDTV with Netflix Roku","6"
"1169","Lu00edquido body soap","6"
"1170","Leif body soap","4"
"1171","Leif conditioner","4"
"1172","Marshall Speaker Bluetooth sound system","1"
"1173","TreSemme shampoo","1"
"1174","Childrenu2019s books and toys for ages 510 years old and 10 years old","4"
"1175","Schwarzkopf conditioner","1"
"1176","Samsung sound system with aux","1"
"1177","Wifi u2013 2 Mbps","2"
"1178","AEG touch stainless steel electric stove","1"
"1179","Cooktop gas stove","2"
"1180","Caixa de som com Bluetooth  sound system with Bluetooth and aux","1"
"1181","Bosch stainless steel induction stove","1"
"1182","Wifi u2013 80 Mbps","5"
"1183","Shared outdoor rooftop pool","9"
"1184","Iwori  Beauty without Cruelty shampoo","1"
"1185","Harmon Cardon Bluetooth Speakers Bluetooth sound system","1"
"1186","Childrenu2019s books and toys for ages 02 years old 25 years old and 510 years old","7"
"1187","Iwori  Beauty without Cruelty conditioner","1"
"1188","BOSCH electric stove","1"
"1189","FISHER  PAYKEL refrigerator","1"
"1190","BOSCH oven","2"
"1191","SONOS Bluetooth sound system","1"
"1192","Gated community","1"
"1193","Heated infinity pool","3"
"1194","Pergola","3"
"1195","Dumbwaiter","1"
"1196","Driveway parking","8"
"1197","Single burner countertop range electric stove","1"
"1198","Arbonne body soap","1"
"1199","Arbonne conditioner","1"
"1200","Arbonne shampoo","1"
"1201","Paid valet parking on premises u2013 25 per day 1 space","2"
"1202","AEG stainless steel gas stove","1"
"1203","AEG stainless steel oven","2"
"1204","PlayStation","1"
"1205","Generator","2"
"1206","TV with Amazon Prime Video","3"
"1207","One Samsung energy saving fridgefreezer with digital invertor and one Bosch energy saving full fridge  refrigerator","1"
"1208","Ge stove","1"
"1209","Ge refrigerator","1"
"1210","Portu00e1til  electric stove","1"
"1211","u00e9 um fogu00e3o de apenas uma boca induction stove","1"
"1212","HDTV with Chromecast Netflix Roku","1"
"1213","guest soap body soap","1"
"1214","bass Bluetooth sound system","2"
"1215","Phone","2"
"1216","Saltwater pool","2"
"1217","Jetted tub","1"
"1218","Ceiling fans","6"
"1219","Courtyard","3"
"1220","Toshiba  refrigerator","1"
"1221","Ceramic hob top electric stove","1"
"1222","Sono Bluetooth sound system","1"
"1223","Liquid bodywash body soap","1"
"1224","Lux body soap","9"
"1225","Free parking on premises u2013 4 spaces","2"
"1226","Paid washeru2013In unit","17"
"1227","Clothing storage wardrobe walkin closet and dresser","3"
"1228","Suave body soap","1"
"1229","Suave conditioner","2"
"1230","Marshall  Bluetooth sound system","1"
"1231","Free dryer","6"
"1232","FridgeFreezer refrigerator","4"
"1233","Golez conditioner","1"
"1234","Whirlpool  stainless steel gas stove","2"
"1235","DEFFY  stainless steel oven","1"
"1236","DEFFY refrigerator","1"
"1237","Miele electric stove","2"
"1238","Private outdoor heated saltwater pool","2"
"1239","All soaps shower gel and sbampoo is Dove body soap","1"
"1240","Free parking garage on premises u2013 807 spaces","1"
"1241","Viking stainless steel gas stove","3"
"1242","Continental stove","1"
"1243","Shared indoor lap pool","1"
"1244","Head and shoulders  shampoo","2"
"1245","Le petit marseille  body soap","1"
"1246","Kumtel stainless steel electric stove","1"
"1247","Pantane (all in one) shampoo","1"
"1248","Americana refrigerator","1"
"1249","Everyone Body Soaporganic body soap","1"
"1250","Countertop Hotplate electric stove","1"
"1251","African Organics body soap","1"
"1252","Dedicated workspace office chair table and desk","4"
"1253","Wifi u2013 5 Mbps","7"
"1254","BEKO stainless steel oven","1"
"1255","Teka stainless steel electric stove","5"
"1256","Lux Johnsons outros body soap","1"
"1257","TresHemmes conditioner","1"
"1258","JBL sound system with aux","1"
"1259","Wifi u2013 42 Mbps","1"
"1260","Small under counter refrigerator","1"
"1261","Private indoor pool","3"
"1262","Free driveway parking on premises u2013 3 spaces","6"
"1263","Electrolux stainless steel induction stove","1"
"1264","Healing Earth body soap","2"
"1265","Healing Earth (Sulphate Free) shampoo","1"
"1266","Healing Earth conditioner","1"
"1267","Dedicated workspace monitor desk office chair and table","1"
"1268","Game console Xbox One","2"
"1269","Integrated Whirlpool refrigerator","1"
"1270","Subzero refrigerator","2"
"1271","sony sound system with aux","1"
"1272","Foosball table","2"
"1273","Private gym","3"
"1274","bergman kelly conditioner","1"
"1275","facebody bar Bergman Kelly body soap","1"
"1276","HDTV with Netflix HBO Max Amazon Prime Video standard cable","1"
"1277","2 caixas de 45w cada modelo Yamaha HS5 sound system with aux","1"
"1278","TV with Chromecast standard cable","1"
"1279","Lagan  refrigerator","1"
"1280","Counter top induction stove","1"
"1281","Aspar conditioner","1"
"1282","MEX gas stove","7"
"1283","NORMAL body soap","6"
"1284","Eletrolux gas stove","1"
"1285","29","3"
"1286","vu00fccut sabunu body soap","1"
"1287","u0130pek shampoo","1"
"1288","da casa body soap","1"
"1289","Play Room","1"
"1290","Orgu00e1nico conditioner","1"
"1291","Orgu00e1nico shampoo","1"
"1292","Orgu00e1nico body soap","1"
"1293","Free carport on premises u2013 3 spaces","3"
"1294","HDTV with Netflix Amazon Prime Video standard cable","3"
"1295","Tresemme shampoo","1"
"1296","Natural skincare products shampoo","1"
"1297","Sonos sound system with Bluetooth and aux","5"
"1298","Free carport on premises u2013 4 spaces","1"
"1299","ilive stainless steel oven","1"
"1300","Sukrin conditioner","1"
"1301","Sukrin body soap","1"
"1302","Sukrin shampoo","1"
"1303","standart shampoo","1"
"1304","Nivea body soap","4"
"1305","Palmolive and organic conditioner","1"
"1306","Shared outdoor rooftop saltwater pool","12"
"1307","Free parking garage on premises u2013 30 spaces","10"
"1308","Paid parking garage off premises u2013 AUD30 per stay","1"
"1309","Palmolive conditioner","2"
"1310","creative sound system with Bluetooth and aux","1"
"1311","Wifi u2013 100000 Mbps","1"
"1312","Clothing storage dresser closet and walkin closet","1"
"1313","206","5"
"1314","Paid street parking off premises u2013 EUR2 per day","1"
"1315","Yerli u00dcru00fcn body soap","1"
"1316","Bosh refrigerator","7"
"1317","Bosh stainless steel oven","2"
"1318","Safety gate","1"
"1319","Sun deck","2"
"1320","Spa equipment","5"
"1321","Restaurant","12"
"1322","Smoking parlor","5"
"1323","Spa access","2"
"1324","Massage bed","1"
"1325","damana body soap","3"
"1326","Paid parking garage off premises u2013 3 per day","8"
"1327","Paid parking lot off premises u2013 4 per day","1"
"1328","Hammam","2"
"1329","Sun bed","3"
"1330","Small portable speaker  2 large speakers sound system with Bluetooth and aux","1"
"1331","Free wifi","109"
"1332","Complimentary breakfast","3"
"1333","Refrigerador pequeno comporta poucos alimentos refrigerator","1"
"1334","Cooktop duas bocas elu00e9trico stainless steel electric stove","1"
"1335","Oyster stainless steel oven","1"
"1336","Paid parking lot on premises u2013 EUR3 per day 1 space","1"
"1337","36","6"
"1338","Rooibos body soap","1"
"1339","organic body soap","2"
"1340","2 bocas portatil electric stove","1"
"1341","defy refrigerator","4"
"1342","Currently 2 plate stove stainless steel electric stove","1"
"1343","Paid parking garage off premises u2013 EUR40 per day","1"
"1344","piastre electric stove","1"
"1345","Smeg induction stove","12"
"1346","Siemens stainless steel electric stove","1"
"1347","TV with Netflix Chromecast","4"
"1348","XXX conditioner","1"
"1349","Dove  body soap","1"
"1350","Shared rooftop pool","1"
"1351","Elseve Loreal shampoo","1"
"1352","Consul stainless steel gas stove","10"
"1353","Elseve Loreal conditioner","1"
"1354","Phebo body soap","7"
"1355","Arcelik stainless steel oven","1"
"1356","apple sound system with aux","1"
"1357","Samsung stainless steel gas stove","4"
"1358","hotplates induction stove","1"
"1359","Sabonete lu00edquido na pia do banheiro body soap","1"
"1360","Radio sound system","1"
"1361","Ru00e1dio Relu00f3gio Philips u2013 Modelo AJ7030012 na cor preta Bluetooth sound system","1"
"1362","Fogu00e3o com forno oven","1"
"1363","Dove ou Lux body soap","1"
"1364","Fogu00e3o com forno gas stove","1"
"1365","Tedge Bluetooth sound system","1"
"1366","TREsemme shampoo","1"
"1367","TREsemme conditioner","1"
"1368","Wifi u2013 8 Mbps","2"
"1369","in the communal kitchen oven","1"
"1370","Paid parking lot on premises u2013 AUD10 per day 4 spaces","1"
"1371","in communal kitchen gas stove","1"
"1372","various body soap","2"
"1373","various conditioner","2"
"1374","HiSense with icebox refrigerator","1"
"1375","Smeg electric stainless steel oven","1"
"1376","Phillips basic CD player sound system with aux","1"
"1377","Smeg gas top elec oven stainless steel gas stove","1"
"1378","Small electric 2 plate hob and oven electric stove","1"
"1379","Wifi u2013 4 Mbps","2"
"1380","39","5"
"1381","Vegan Su0131vu0131 Sabun  body soap","1"
"1382","OX  conditioner","1"
"1383","Flea Market Bluetooth sound system","1"
"1384","Natural soap conditioner","2"
"1385","Wifi u2013 10030 Mbps","1"
"1386","u0e4cNatural soap body soap","1"
"1387","OX shampoo","1"
"1388","fica disposiu00e7u00e3o do hospede body soap","1"
"1389","O forno estu00e1 com defeito Mas os queimadores em bom estado gas stove","1"
"1390","Electrolux Duplex refrigerator","1"
"1391","Monodose  conditioner","1"
"1392","Paid parking lot off premises u2013 50 per hour","1"
"1393","Free driveway parking on premises u2013 20 spaces","4"
"1394","Pineware stainless steel electric stove","1"
"1395","Healing earth conditioner","1"
"1396","37","3"
"1397","22","3"
"1398","Paid street parking off premises u2013 EUR4 per hour","1"
"1399","Bang Olufsen Bluetooth sound system","1"
"1400","Convection microwave oven","1"
"1401","Granado Phebo body soap","1"
"1402","varu00eda body soap","1"
"1403","Organics conditioner","4"
"1404","Organics shampoo","7"
"1405","Shared outdoor heated saltwater pool","4"
"1406","Sukin conditioner","8"
"1407","Sukin body soap","7"
"1408","Kic refrigerator","1"
"1409","Guesthouse  shampoo","1"
"1410","starter set only shampoo","1"
"1411","HDTV with Roku","6"
"1412","Paid street parking off premises u2013 TRY30 per day","2"
"1413","Game console PS3","1"
"1414","SubZero Freezer Company Inc refrigerator","1"
"1415","Paid parking on premises u2013 1 space","5"
"1416","Shared outdoor infinity rooftop saltwater pool","5"
"1417","Tresemmu00e9 body soap","1"
"1418","Brastemp  refrigerator","4"
"1419","mabe de 29 pies refrigerator","1"
"1420","Anko oven","1"
"1421","Marantz sound system","2"
"1422","Pentene body soap","1"
"1423","Pantene body soap","1"
"1424","Cadum ou Fer u00e0 Cheval body soap","1"
"1425","3m conditioner","1"
"1426","NEUTRO BALANCE body soap","1"
"1427","SE LOS PUEDO PRESTAR SI LO SOLICITAN  sound system with aux","1"
"1428","Paid parking garage off premises u2013 EUR25 per day","5"
"1429","Fridgedare stainless steel gas stove","1"
"1430","siemens refrigerator","3"
"1431","HDTV with Amazon Prime Video Apple TV Chromecast HBO Max Netflix Roku","1"
"1432","Moroccan Oil conditioner","1"
"1433","Rosa Venus body soap","1"
"1434","Earth Essentials conditioner","1"
"1435","Panasonic Bluetooth sound system","1"
"1436","Shared outdoor infinity rooftop pool","2"
"1437","Green Tea Lemongrass and JasminMint Hotel fragrance selected products conditioner","1"
"1438","Green Tea Lemongrass and JasminMint Hotel fragrance selected products body soap","1"
"1439","local conditioner","3"
"1440","local body soap","2"
"1441","palmolive Classic conditioner","1"
"1442","Clicks pharmacy brand body soap","1"
"1443","frost free eletrolux refrigerator","1"
"1444","DEFY electric stove","2"
"1445","DEFY oven","1"
"1446","Defy with freezer refrigerator","1"
"1447","Various brands shampoo","1"
"1448","Just Lynne  body soap","1"
"1449","Bosch  Induction hob induction stove","1"
"1450","Just Lynne body soap","2"
"1451","Smeg  Intergrated fridge freeze refrigerator","1"
"1452","Bosch  Electric oven oven","1"
"1453","Beko Ofice type refrigerator","1"
"1454","Habeb stainless steel electric stove","1"
"1455","Eletrolux induction stove","1"
"1456","Eletrolux stainless steel gas stove","5"
"1457","Sony sound system","5"
"1458","Hamilton Beach oven","1"
"1459","Sharp refrigerator","3"
"1460","Altus refrigerator","1"
"1461","Paid parking garage on premises u2013 EUR40 per day 1 space","1"
"1462","74","1"
"1463","high end shampoo and conditioner conditioner","1"
"1464","full size stove and oven stainless steel oven","1"
"1465","bar and liquid soap body soap","1"
"1466","high end sound system with smart TV sound system","1"
"1467","full size stainless steel refrigerator refrigerator","1"
"1468","high end shampoo and conditioner shampoo","1"
"1469","Mabe gas stove","6"
"1470","Game console Xbox 360","1"
"1471","Paid parking garage on premises u2013 BRL10 per day 2 spaces","1"
"1472","iPad Air  sound system","1"
"1473","cooktop u00e0 gu00e1s gas stove","1"
"1474","brastemp frost free  refrigerator","1"
"1475","RCA sound system","1"
"1476","Possibilitu00e9 de ranger des produits dans le frigo refrigerator","1"
"1477","Clean conditioner","1"
"1478","Clean body soap","1"
"1479","Clean shampoo","1"
"1480","Wifi u2013 32 Mbps","2"
"1481","TV with Apple TV Amazon Prime Video HBO Max Netflix","1"
"1482","Ceiling audio receiver speakers Bluetooth sound system","1"
"1483","Aussie  conditioner","1"
"1484","Fisher  Paykel (New Zealand) refrigerator","1"
"1485","Dr Woods body soap","1"
"1486","HDTV with standard cable Netflix Apple TV Amazon Prime Video Chromecast","1"
"1487","Paid parking garage on premises u2013 2 per day 1 space","1"
"1488","Amenidad pequeu00f1a por estancia shampoo","2"
"1489","Lg sound system with aux","1"
"1490","Francis body soap","3"
"1491","Lu00edquido  Granado  body soap","1"
"1492","Cu00f4nsul stainless steel oven","2"
"1493","Sabonete lu00edquido Granado body soap","1"
"1494","Siemens builtin oven oven","1"
"1495","BOSE sound system with aux","1"
"1496","AVEDA shampoo","1"
"1497","Beko refrigerator","3"
"1498","SEBAMED body soap","1"
"1499","IEM refrigerator","1"
"1500","Paid parking garage on premises u2013 BRL15 per day 1 space","1"
"1501","electrolux stainless steel oven","1"
"1502","HDTV with premium cable Chromecast Amazon Prime Video HBO Max Netflix standard cable","1"
"1503","Pansonic refrigerator","1"
"1504","lihljkhkljhklj shampoo","1"
"1505","Savon liquide Petit Marseillais body soap","1"
